职球圈,#genre#
伊拉克明星聯賽_迪雅拉_VS_阿馬納特巴格達_原音_HD,https://play1nm.hnyongshun.cn/live/1828857cd080c66bb67cc81d74d15e61.m3u8
斯洛伐克超級聯賽_澤禾倫火車頭_VS_科馬爾諾_原音_HD,https://play1nm.hnyongshun.cn/live/527a7700c0213d9855044fecf2a093c4.m3u8
國際友誼賽_匈牙利U16_VS_瑞士U16_原音_HD,https://play1nm.hnyongshun.cn/live/97ef6ed76e3c3fbf961e5c96f3b13ae1.m3u8
羅馬尼亞籃球甲級聯賽_布格勒斯特戴拿模_VS_奧拉迪亞_原音_HD,https://play1nm.hnyongshun.cn/live/b4eedef7597063b168eb87bb5a600959.m3u8
芬蘭籃球甲級聯賽_薩羅維爾帕斯_VS_卡塔亞_原音_HD,https://play1nm.hnyongshun.cn/live/72ec532f723c1dbbc23e7a890ce11caa.m3u8
以色列籃球甲級聯賽_海法馬卡比_VS_米格代爾哈曼_原音_HD,https://play1nm.hnyongshun.cn/live/a805b6a30b5f40d8c0e590e0094986aa.m3u8
立陶宛盃_維爾提斯BFA_VS_加爾利阿瓦_原音_HD,https://play1nm.hnyongshun.cn/live/5ab636c435b57746fdd10bd54450e00c.m3u8
挪丙_白蘭恩B隊_VS_桑恩達B隊_原音_HD,https://play1nm.hnyongshun.cn/live/47d16340ada41679846253756fd4c367.m3u8
挪威女盃_利尼史特朗女足_VS_侯尼霍斯女足_原音_HD,https://play1nm.hnyongshun.cn/live/9f145f8a7fd081e2e257305570a3cbd7.m3u8
非洲青年U17冠軍盃_喀麥隆U17_VS_剛果民主共和國U17_原音_HD,https://play1nm.hnyongshun.cn/live/65bc0754845b3afbaaed92aac5155540.m3u8
非洲青年U17冠軍盃_科特迪瓦U17_VS_烏干達U17_原音_HD,https://play1nm.hnyongshun.cn/live/58a5e60667e246913a2e2b658c1d61a4.m3u8
捷克籃球甲聯賽_BK奧帕瓦_VS_寧布力克_未知_HD,https://play1nm.hnyongshun.cn/live/c7c2eee39f7415c8903f0e5e9605134d.m3u8
以色列籃球甲級聯賽_亞夫涅_VS_佩塔提克瓦_原音_HD,https://play1nm.hnyongshun.cn/live/76f391f819f3e981986ab1cc673757e1.m3u8
法国网球公开赛_法网资格赛_第2日_14号球场_国语_HD,https://play1nm.hnyongshun.cn/live/e258456288c89c96d0c65cce96e40888.m3u8
WTA_斯特拉斯堡公开赛_-_1号场地_原音_HD,https://play1nm.hnyongshun.cn/live/ed2a43bfdaca4354cf3990ff703b7a0a.m3u8
WTA_斯特拉斯堡公开赛_-_主体育场_原音_HD,https://play1nm.hnyongshun.cn/live/be7cc11c47f4d3b8275767ffb9a82353.m3u8
ATP_ATP_250_-_Gonet_Geneva_Open_2026_-_Geneva_英语_HD,https://play1nm.hnyongshun.cn/live/8070728862cd3a77205cb73a5860905d.m3u8
ATP_ATP_500_-_Bitpanda_Hamburg_Open_2026_-_Hamburg_英语_HD,https://play1nm.hnyongshun.cn/live/154a27c69bee9891aee1985d89326185.m3u8
ATP_ATP_500_-_Bitpanda_Hamburg_Open_2026_-_Hamburg_英语_HD,https://play1nm.hnyongshun.cn/live/9a3400d4f51b123360008f87948fc8bf.m3u8
WTA_摩洛哥拉巴特公开赛_-_1号场地_原音_HD,https://play1nm.hnyongshun.cn/live/40e9193400093ac208eaaf4e0a642a4f.m3u8
WTA_摩洛哥拉巴特公开赛_-_1号场地_原音_HD,https://play1nm.hnyongshun.cn/live/720ebf761620199f12089ace3b5192b8.m3u8
WTA_摩洛哥拉巴特公开赛_-_2号场地_原音_HD,https://play1nm.hnyongshun.cn/live/3d79aee6e1efda0c61edf5e944829a85.m3u8
WTA_摩洛哥拉巴特公开赛_-_中央场地_原音_HD,https://play1nm.hnyongshun.cn/live/5019c812df402e4d0ba095af962fd690.m3u8
WTA_摩洛哥拉巴特公开赛_-_中央场地_原音_HD,https://play1nm.hnyongshun.cn/live/06542e526290aabbb4b2da5205d207a8.m3u8
WTA_斯特拉斯堡公开赛_-_2号场地_原音_HD,https://play1nm.hnyongshun.cn/live/ca03d0dda2669adc3f0ad0c684ed47e6.m3u8
國際乒聯_WTT_Contender_Lagos_2026_Q_Day_1_T1_原音_HD,https://play1nm.hnyongshun.cn/live/c7929c3f585075fc8f401dd54929a449.m3u8
國際乒聯_WTT_Contender_Lagos_2026_Q_Day_1_T2_原音_HD,https://play1nm.hnyongshun.cn/live/4b9c58ce01c15e40a7fb4bab6fbd3b18.m3u8
國際乒聯_WTT_Contender_Lagos_2026_Q_Day_1_T4_原音_HD,https://play1nm.hnyongshun.cn/live/634b0795f75c4bdc92cb84b9527346f1.m3u8
世界冰球錦標賽_意大利_VS_挪威_原音_HD,https://play1nm.hnyongshun.cn/live/c6e91d6d1369def19a26e0c152b16380.m3u8
國際乒聯_WTT_Feeder_Lagos_2026_Day_2_T1_原音_HD,https://play1nm.hnyongshun.cn/live/1bfd08ac5e9d1b20726411e93edcbf69.m3u8
大陸冰球聯賽_火車頭_VS_卡山巴斯_原音_HD,https://play1nm.hnyongshun.cn/live/36d7e09cd9f27a929020ff365a1fdfe1.m3u8
